nCodePoint,sName,sLaTex,eGlyphClass,nTopAccentX,nItalicCorr
0,.notdef,,0,0,0
x20,space,,0,0,0
x21,exclam,mathexclam,0,0,0
x22,quotedbl,,0,0,0
x23,numbersign,mathoctothorpe,0,0,0
x24,dollar,mathdollar,0,0,0
x25,percent,mathpercent,0,0,0
x26,ampersand,mathampersand,0,0,0
x2019,quoteright,,0,0,0
x28,parenleft,lparen,4,0,0
x29,parenright,rparen,5,0,0
x2A,asterisk,,0,398,0
x2B,plus,mathplus,2,0,0
x2C,comma,mathcomma,6,0,0
x2D,hyphen,,0,0,0
x2E,period,mathperiod,0,0,0
x2F,slash,mathslash,0,0,0
x30,zero,,0,254,0
x31,one,,0,257,0
x32,two,,0,240,0
x33,three,,0,258,0
x34,four,,0,353,0
x35,five,,0,256,0
x36,six,,0,318,0
x37,seven,,0,103,13
x38,eight,,0,261,0
x39,nine,,0,242,0
x3A,colon,mathcolon,6,0,0
x3B,semicolon,mathsemicolon,6,0,0
x3C,less,less,3,0,0
x3D,equal,equal,3,0,0
x3E,greater,greater,3,0,0
x3F,question,mathquestion,0,0,0
x40,at,mathatsign,0,0,0
x41,A,,0,375,0
x42,B,,0,256,0
x43,C,,0,507,0
x44,D,,0,243,0
x45,E,,0,315,0
x46,F,,0,308,0
x47,G,,0,507,0
x48,H,,0,375,0
x49,I,,0,181,0
x4A,J,,0,317,0
x4B,K,,0,378,0
x4C,L,,0,193,0
x4D,M,,0,458,0
x4E,N,,0,375,0
x4F,O,,0,388,0
x50,P,,0,250,0
x51,Q,,0,388,0
x52,R,,0,234,24
x53,S,,0,330,0
x54,T,,0,361,0
x55,U,,0,375,0
x56,V,,0,375,8
x57,W,,0,514,9
x58,X,,0,361,4
x59,Y,,0,375,16
x5A,Z,,0,317,0
x5B,bracketleft,lbrack,4,0,6
x5C,backslash,backslash,0,0,0
x5D,bracketright,rbrack,5,0,0
x5E,asciicircum,,0,0,33
x5F,underscore,,0,0,28
x2018,quoteleft,,0,0,0
